id,name,category,price,old_price,rating,reviews,discount,image,description,features
1,Apple iPhone 15,Electronics,69999,79999,4.8,2450,13,https://images.unsplash.com/photo-1696446701796-da61225697cc?auto=format&fit=crop&w=600&q=80,Apple smartphone with powerful performance and excellent camera,"A16 Bionic Chip | 48MP Main Camera | Super Retina Display | 128GB Storage | 5G Support"
2,Samsung Galaxy S24,Electronics,64999,74999,4.7,1980,13,https://images.unsplash.com/photo-1610945415295-d9bbf067e59c?auto=format&fit=crop&w=600&q=80,Android smartphone with modern design,"Snapdragon Processor | 50MP Camera | AMOLED Display | 8GB RAM | 256GB Storage | 5G Support"
3,Wireless Headphones,Electronic Accessories,2999,4999,4.5,890,40,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?auto=format&fit=crop&w=600&q=80,Headphones with high quality sound,"Wireless Bluetooth | Noise Cancellation | 30 Hours Battery | Comfortable Ear Cushions | Fast Charging"
4,Smart Watch,Electronics,3999,6999,4.4,760,43,https://images.unsplash.com/photo-1523275335684-37898b6baf30?auto=format&fit=crop&w=600&q=80,Smart watch with fitness tracking and notifications,"Heart Rate Monitor | Step Counter | Sleep Tracking | Call Notifications | Bluetooth | Water Resistant"
5,USB Type C Cable,Electronic Accessories,499,899,4.5,1200,44,https://images.unsplash.com/photo-1587033411391-5d9e51cce126?auto=format&fit=crop&w=600&q=80,Fast charging USB Type C cable,"Fast Charging | Type-C Connector | Data Transfer | Durable Material | 1 Meter Length"
6,Wireless Mouse,Electronic Accessories,799,1299,4.6,980,38,https://images.unsplash.com/photo-1527814050087-3793815479db?auto=format&fit=crop&w=600&q=80,Ergonomic wireless mouse for laptop and computer,"Wireless Connection | Ergonomic Design | Silent Click | Long Battery Life | USB Receiver"
7,Running Shoes,Fashion,2499,3999,4.6,1250,38,https://images.unsplash.com/photo-1542291026-7eec264c27ff?auto=format&fit=crop&w=600&q=80,Running shoes for everyday comfort,"Lightweight Design | Breathable Material | Comfortable Sole | Anti-Slip Grip | Flexible Design"
8,Classic Sneakers,Fashion,1999,2999,4.4,940,33,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?auto=format&fit=crop&w=600&q=80,Stylish sneakers suitable for casual outfits,"Stylish Design | Comfortable Fit | Durable Sole | Lightweight | Casual Wear"
9,Women's Handbag,Fashion,1799,2999,4.5,680,40,https://images.unsplash.com/photo-1584917865442-de89df76afd3?auto=format&fit=crop&w=600&q=80,Modern handbag with spacious interior,"Spacious Interior | Multiple Compartments | Adjustable Strap | Premium Material | Stylish Design"
10,Men's Jacket,Fashion,2999,4999,4.3,530,40,https://images.unsplash.com/photo-1551028719-00167b16eac5?auto=format&fit=crop&w=600&q=80,Casual jacket for everyday wear,"Premium Fabric | Full Sleeves | Comfortable Fit | Zipper Closure | Casual Design"
11,Table Lamp,Home Accessories,999,1599,4.3,310,38,https://images.unsplash.com/photo-1507473885765-e6ed057f782c?auto=format&fit=crop&w=600&q=80,Decorative lamp for bedroom and living room,"LED Light | Energy Efficient | Modern Design | Adjustable Brightness | Easy to Use"
12,Modern Chair,Home Accessories,3499,5499,4.5,420,36,https://images.unsplash.com/photo-1503602642458-232111445657?auto=format&fit=crop&w=600&q=80,Comfortable chair for home and office,"Ergonomic Design | Comfortable Cushion | Strong Frame | Modern Look | Easy Maintenance"
13,Decorative Vase,Home Accessories,699,1199,4.4,350,42,https://images.unsplash.com/photo-1612196808214-b8e1d6145a8c?auto=format&fit=crop&w=600&q=80,Beautiful decorative vase for home,"Elegant Design | Durable Material | Lightweight | Home Decoration | Easy to Clean"
14,Wall Clock,Home Accessories,899,1499,4.3,290,40,https://images.unsplash.com/photo-1563861826100-9cb868fdbe1c?auto=format&fit=crop&w=600&q=80,Modern wall clock for home decoration,"Modern Design | Silent Movement | Easy Wall Mounting | Clear Numbers | Durable Build"
15,Gold Necklace,Jewellery,2499,3999,4.7,620,38,https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f?auto=format&fit=crop&w=600&q=80,Elegant necklace for special occasions,"Elegant Design | Gold Plated | Lightweight | Adjustable Chain | Gift Ready"
16,Silver Earrings,Jewellery,999,1699,4.6,540,41,https://images.unsplash.com/photo-1535632066927-ab7c9ab60908?auto=format&fit=crop&w=600&q=80,Silver earrings with elegant design,"Elegant Style | Silver Finish | Lightweight | Comfortable Wear | Gift Box"
17,Diamond Ring,Jewellery,4999,6999,4.8,430,29,https://images.unsplash.com/photo-1605100804763-247f67b3557e?auto=format&fit=crop&w=600&q=80,Stylish ring for special occasions,"Premium Design | Diamond Look | Polished Finish | Comfortable Fit | Gift Ready"
18,Travel Backpack,Accessories,1499,2499,4.6,870,40,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?auto=format&fit=crop&w=600&q=80,Backpack perfect for travel and college,"Large Storage | Multiple Compartments | Laptop Sleeve | Adjustable Straps | Water Resistant"
19,Sunglasses,Accessories,799,1299,4.2,560,38,https://images.unsplash.com/photo-1511499767150-a48a237f0083?auto=format&fit=crop&w=600&q=80,Sunglasses with modern frame,"UV Protection | Modern Frame | Lightweight | Comfortable Fit | Stylish Design"
20,Leather Wallet,Accessories,899,1499,4.5,670,40,https://images.unsplash.com/photo-1627123424574-724758594e93?auto=format&fit=crop&w=600&q=80,Leather wallet with multiple card slots,"Premium Leather | Multiple Card Slots | Cash Compartment | Compact Design | Durable Stitching"
